activity_id,lead_id,activity_type,activity_date,activity_status,notes
882,2095,Call,2026-06-15,Completed,Shared available property options.
883,1145,Site Visit,2025-04-13,Failed,Shared available property options.
884,2262,SMS,2026-06-03,Completed,Discussed budget and preferred location.
885,2287,Document Shared,2025-03-14,Pending,No response from customer.
886,1080,SMS,2026-05-04,Failed,No response from customer.
887,2398,SMS,2025-07-13,Completed,Shared available property options.
888,107,SMS,2025-09-13,Pending,Discussed budget and preferred location.
889,2879,Site Visit,2026-04-07,Pending,Discussed budget and preferred location.
890,48,Document Shared,2025-10-10,Pending,Discussed budget and preferred location.
891,337,WhatsApp,2025-10-24,Pending,Customer requested more details.
892,1050,Call,2025-05-27,Failed,Sent lease and booking information.
893,2852,WhatsApp,2025-03-27,Completed,Customer requested more details.
894,1281,SMS,2025-01-27,Failed,Discussed budget and preferred location.
895,2056,WhatsApp,2025-07-24,Pending,Discussed budget and preferred location.
896,625,Call,2026-04-17,Completed,Sent lease and booking information.
897,1891,Email,2025-04-02,Failed,No response from customer.
898,1277,Call,2025-03-03,Failed,No response from customer.
899,1716,Follow-up,2025-04-12,Pending,No response from customer.
900,2767,Call,2025-11-22,Pending,Sent lease and booking information.
901,303,SMS,2026-02-20,Completed,Sent lease and booking information.
902,639,Document Shared,2025-03-02,Completed,Scheduled follow-up call.
903,56,Call,2025-09-28,Pending,Shared available property options.
904,726,Document Shared,2025-03-01,Pending,Customer requested more details.
905,526,SMS,2025-09-20,Failed,Scheduled follow-up call.
906,474,Email,2025-10-07,Pending,No response from customer.
907,28,Call,2025-05-01,Completed,Shared available property options.
908,2126,Call,2026-03-18,Pending,Sent lease and booking information.
909,365,Email,2025-01-26,Pending,No response from customer.
910,2714,Site Visit,2025-04-05,Completed,Customer requested more details.
911,526,Site Visit,2025-10-07,Failed,Shared available property options.
912,2747,Follow-up,2025-05-08,Completed,Customer requested more details.
913,1336,Site Visit,2026-05-09,Completed,No response from customer.
914,883,Site Visit,2025-03-14,Pending,Sent lease and booking information.
915,1031,SMS,2026-04-15,Pending,Discussed budget and preferred location.
916,1027,WhatsApp,2025-04-24,Failed,Scheduled follow-up call.
917,1647,Document Shared,2025-06-08,Pending,Sent lease and booking information.
918,919,Document Shared,2026-01-14,Pending,Customer requested more details.
919,2798,Site Visit,2025-02-18,Completed,Discussed budget and preferred location.
920,2411,SMS,2025-08-19,Pending,Sent lease and booking information.
921,1775,Site Visit,2025-08-10,Pending,Scheduled follow-up call.
922,1532,Call,2025-04-09,Completed,No response from customer.
923,2854,Site Visit,2026-06-04,Failed,Scheduled follow-up call.
924,2787,Document Shared,2026-04-16,Failed,Sent lease and booking information.
925,1907,Site Visit,2025-11-22,Completed,Discussed budget and preferred location.
926,1216,Follow-up,2025-03-22,Failed,Sent lease and booking information.
927,1655,SMS,2026-01-03,Pending,Sent lease and booking information.
928,485,SMS,2026-05-04,Failed,No response from customer.
929,2076,Follow-up,2026-01-12,Completed,Shared available property options.
930,714,WhatsApp,2025-01-31,Pending,Discussed budget and preferred location.
931,1063,Follow-up,2025-07-04,Pending,Scheduled follow-up call.
932,1977,Call,2025-06-06,Failed,No response from customer.
933,1297,Site Visit,2025-08-05,Pending,Discussed budget and preferred location.
934,1255,Call,2025-11-21,Failed,Shared available property options.
935,2134,WhatsApp,2026-06-23,Failed,Discussed budget and preferred location.
936,126,Site Visit,2025-09-10,Completed,Sent lease and booking information.
937,2860,Site Visit,2026-05-06,Failed,Discussed budget and preferred location.
938,537,Follow-up,2025-12-15,Completed,Customer requested more details.
939,2193,Call,2025-06-18,Completed,Discussed budget and preferred location.
940,2073,SMS,2025-03-23,Pending,Discussed budget and preferred location.
941,1604,Follow-up,2025-10-28,Failed,Scheduled follow-up call.
942,67,Follow-up,2025-12-12,Pending,Scheduled follow-up call.
943,233,Document Shared,2026-01-03,Completed,No response from customer.
944,2157,SMS,2025-11-16,Pending,Customer requested more details.
945,1170,Call,2026-02-16,Failed,Discussed budget and preferred location.
946,2159,Follow-up,2026-01-07,Pending,Discussed budget and preferred location.
947,2276,Call,2025-10-05,Failed,Scheduled follow-up call.
948,111,Follow-up,2025-12-11,Failed,No response from customer.
949,1494,WhatsApp,2025-08-10,Pending,Sent lease and booking information.
950,2082,Email,2026-03-02,Completed,Customer requested more details.
951,623,SMS,2026-04-06,Completed,Scheduled follow-up call.
952,2796,Email,2025-06-19,Failed,Discussed budget and preferred location.
953,2643,Call,2026-05-07,Failed,Sent lease and booking information.
954,2473,Follow-up,2025-05-07,Failed,No response from customer.
955,2661,Follow-up,2025-07-03,Pending,Scheduled follow-up call.
956,1542,SMS,2025-09-29,Completed,Customer requested more details.
957,2740,Email,2025-08-21,Completed,Shared available property options.
958,1306,SMS,2025-06-02,Pending,Customer requested more details.
959,1762,Follow-up,2026-05-29,Failed,Shared available property options.
960,1976,Document Shared,2025-06-18,Pending,Sent lease and booking information.
961,2363,SMS,2025-03-20,Pending,Sent lease and booking information.
962,877,Call,2026-02-27,Failed,Discussed budget and preferred location.
963,1990,Email,2026-01-22,Completed,Customer requested more details.
964,1313,Document Shared,2025-06-24,Failed,Discussed budget and preferred location.
965,1461,Follow-up,2025-08-15,Failed,No response from customer.
966,2710,Email,2025-04-22,Pending,Customer requested more details.
967,2325,Email,2025-03-24,Completed,Discussed budget and preferred location.
968,1734,Document Shared,2026-03-14,Completed,Scheduled follow-up call.
969,1606,Document Shared,2026-01-15,Completed,Customer requested more details.
970,1527,SMS,2025-11-29,Failed,Shared available property options.
971,2672,SMS,2026-05-15,Failed,Scheduled follow-up call.
972,2564,Follow-up,2026-03-11,Pending,No response from customer.
973,2891,Follow-up,2026-05-06,Pending,Sent lease and booking information.
974,2398,Call,2025-07-23,Failed,Discussed budget and preferred location.
975,1631,SMS,2025-05-04,Pending,Customer requested more details.
976,2871,Email,2025-10-17,Failed,Customer requested more details.
977,1161,Document Shared,2025-06-05,Failed,Sent lease and booking information.
978,759,Call,2026-05-22,Failed,Sent lease and booking information.
979,2947,Call,2025-01-30,Failed,Discussed budget and preferred location.
980,243,WhatsApp,2025-04-07,Failed,Discussed budget and preferred location.
981,2591,Follow-up,2025-04-19,Failed,Scheduled follow-up call.
982,1064,Site Visit,2026-04-28,Failed,No response from customer.
983,229,Follow-up,2026-06-20,Pending,Discussed budget and preferred location.
984,2596,Email,2025-12-02,Pending,Shared available property options.
985,920,WhatsApp,2025-07-16,Pending,Customer requested more details.
986,1247,Follow-up,2025-05-16,Pending,Customer requested more details.
987,6,Email,2026-06-29,Completed,Scheduled follow-up call.
988,468,Site Visit,2026-03-22,Pending,Customer requested more details.
989,1756,Document Shared,2026-03-26,Pending,Discussed budget and preferred location.
990,75,Site Visit,2025-03-28,Failed,Customer requested more details.
991,4,Document Shared,2026-01-09,Pending,Shared available property options.
992,1871,Site Visit,2025-06-05,Completed,Scheduled follow-up call.
993,646,Call,2025-11-08,Completed,Discussed budget and preferred location.
994,118,Document Shared,2025-11-21,Failed,Customer requested more details.
995,2929,Site Visit,2026-06-07,Pending,No response from customer.
996,1630,Site Visit,2025-08-23,Failed,No response from customer.
997,2552,WhatsApp,2025-06-15,Completed,Scheduled follow-up call.
998,2022,Site Visit,2026-05-11,Failed,Discussed budget and preferred location.
999,947,Document Shared,2025-10-24,Pending,Shared available property options.
1000,2622,Site Visit,2025-02-16,Pending,No response from customer.
1001,1465,SMS,2025-10-20,Pending,Customer requested more details.
1002,194,Follow-up,2025-05-28,Failed,No response from customer.
1003,847,Follow-up,2025-12-28,Pending,Sent lease and booking information.
1004,2763,Site Visit,2025-09-17,Pending,Sent lease and booking information.
1005,1416,Site Visit,2025-12-02,Completed,Shared available property options.
1006,1459,Site Visit,2025-09-23,Completed,No response from customer.
1007,2221,Email,2025-10-21,Failed,Discussed budget and preferred location.
1008,1669,SMS,2025-02-13,Completed,Discussed budget and preferred location.
1009,2374,Site Visit,2025-03-08,Pending,Shared available property options.
1010,1434,Follow-up,2026-01-16,Failed,Scheduled follow-up call.
1011,1142,SMS,2026-06-03,Pending,No response from customer.
1012,2884,SMS,2026-04-22,Pending,Customer requested more details.
1013,1811,SMS,2026-03-16,Completed,Scheduled follow-up call.
1014,724,Document Shared,2025-09-01,Failed,Scheduled follow-up call.
1015,225,WhatsApp,2025-06-25,Completed,Discussed budget and preferred location.
1016,532,Follow-up,2025-04-04,Failed,No response from customer.
1017,113,Document Shared,2025-05-01,Pending,Discussed budget and preferred location.
1018,2188,Call,2025-09-06,Completed,Discussed budget and preferred location.
1019,559,Email,2025-04-11,Pending,Sent lease and booking information.
1020,2049,SMS,2026-01-16,Pending,Scheduled follow-up call.
1021,2138,Call,2025-07-19,Completed,No response from customer.
1022,654,WhatsApp,2026-04-23,Failed,Customer requested more details.
1023,320,SMS,2026-03-10,Failed,Sent lease and booking information.
1024,1574,Follow-up,2025-08-10,Failed,Scheduled follow-up call.
1025,1829,Site Visit,2025-06-23,Completed,Shared available property options.
1026,1918,Follow-up,2026-01-11,Failed,Discussed budget and preferred location.
1027,139,WhatsApp,2026-03-25,Completed,Sent lease and booking information.
1028,2893,Site Visit,2025-07-04,Completed,Customer requested more details.
1029,2027,SMS,2025-09-28,Completed,Discussed budget and preferred location.
1030,2307,SMS,2025-06-22,Completed,Discussed budget and preferred location.
1031,902,Follow-up,2025-04-14,Pending,Customer requested more details.
1032,690,Email,2026-04-26,Pending,Sent lease and booking information.
1033,2040,Document Shared,2025-05-16,Pending,Customer requested more details.
1034,10,SMS,2025-12-26,Failed,Scheduled follow-up call.
1035,261,Follow-up,2026-06-04,Pending,Discussed budget and preferred location.
1036,1943,Follow-up,2025-08-25,Pending,No response from customer.
1037,1674,Call,2025-11-04,Failed,Scheduled follow-up call.
1038,2220,SMS,2025-05-28,Pending,Sent lease and booking information.
1039,2946,Follow-up,2026-05-25,Pending,No response from customer.
1040,2061,SMS,2026-03-26,Completed,Customer requested more details.
1041,1192,Document Shared,2025-04-29,Failed,Shared available property options.
1042,1620,Email,2025-12-29,Pending,Discussed budget and preferred location.
1043,321,Document Shared,2026-03-31,Pending,Shared available property options.
1044,1343,Call,2026-03-14,Pending,Discussed budget and preferred location.
1045,1637,WhatsApp,2025-08-27,Pending,Discussed budget and preferred location.
1046,2377,Site Visit,2026-06-29,Pending,Sent lease and booking information.
1047,2833,Document Shared,2025-06-07,Failed,No response from customer.
1048,2825,Email,2025-12-05,Completed,Discussed budget and preferred location.
1049,1995,SMS,2026-02-18,Failed,No response from customer.
1050,2959,SMS,2025-03-10,Pending,Discussed budget and preferred location.
1051,1944,Email,2025-07-17,Completed,No response from customer.
1052,2039,Site Visit,2025-09-05,Completed,No response from customer.
1053,1119,Follow-up,2025-10-15,Pending,Shared available property options.
1054,1605,Site Visit,2025-08-17,Completed,Shared available property options.
1055,2366,Document Shared,2025-06-17,Completed,Scheduled follow-up call.
1056,236,Email,2025-05-18,Pending,Shared available property options.
1057,1970,Follow-up,2026-01-25,Pending,Sent lease and booking information.
1058,334,Follow-up,2025-06-10,Pending,Shared available property options.
1059,1909,Follow-up,2026-05-20,Failed,No response from customer.
1060,376,Call,2025-08-02,Pending,Sent lease and booking information.
1061,1161,Site Visit,2025-05-02,Pending,No response from customer.
1062,2636,Email,2025-11-19,Pending,Discussed budget and preferred location.
1063,1571,WhatsApp,2025-11-28,Pending,Discussed budget and preferred location.
1064,2561,Document Shared,2025-06-16,Completed,Discussed budget and preferred location.
1065,1320,Follow-up,2026-05-21,Failed,Discussed budget and preferred location.
1066,2966,SMS,2026-05-24,Failed,Sent lease and booking information.
1067,1856,Document Shared,2026-01-02,Pending,Discussed budget and preferred location.
1068,1373,Site Visit,2025-10-23,Completed,No response from customer.
1069,873,Site Visit,2026-05-05,Failed,Sent lease and booking information.
1070,1253,SMS,2026-06-21,Completed,Customer requested more details.
1071,2318,Document Shared,2025-05-19,Completed,Scheduled follow-up call.
1072,1852,Call,2026-03-05,Failed,Discussed budget and preferred location.
1073,2846,Call,2025-10-09,Failed,Customer requested more details.
1074,1315,SMS,2025-09-09,Completed,Shared available property options.
1075,725,SMS,2026-03-16,Failed,Shared available property options.
1076,2053,Follow-up,2026-05-14,Completed,Shared available property options.
1077,2899,Call,2025-11-21,Pending,Shared available property options.
1078,78,Follow-up,2025-07-04,Failed,Customer requested more details.
1079,2622,Site Visit,2025-01-28,Failed,No response from customer.
1080,132,Email,2025-05-14,Pending,Discussed budget and preferred location.
1081,601,Document Shared,2026-02-11,Failed,Shared available property options.
1082,1773,Email,2025-07-26,Completed,No response from customer.
1083,1066,Site Visit,2025-11-08,Completed,Shared available property options.
1084,2137,WhatsApp,2025-09-01,Completed,Discussed budget and preferred location.
1085,2450,Follow-up,2025-01-18,Pending,Discussed budget and preferred location.
1086,2344,Follow-up,2025-05-10,Completed,Sent lease and booking information.
1087,1864,WhatsApp,2026-06-02,Failed,No response from customer.
1088,1319,WhatsApp,2026-02-14,Completed,Customer requested more details.
1089,616,SMS,2026-04-08,Pending,No response from customer.
1090,2848,Follow-up,2025-05-10,Pending,No response from customer.
1091,2470,Call,2026-02-18,Failed,Sent lease and booking information.
1092,1889,SMS,2026-04-29,Completed,Discussed budget and preferred location.
1093,1047,Email,2025-12-24,Pending,Sent lease and booking information.
1094,575,Follow-up,2025-11-09,Completed,Shared available property options.
1095,2191,WhatsApp,2025-09-02,Pending,Sent lease and booking information.
1096,993,Follow-up,2026-04-21,Completed,Shared available property options.
1097,2713,Call,2025-12-26,Failed,Sent lease and booking information.
1098,2193,Follow-up,2025-06-01,Pending,Scheduled follow-up call.
1099,1249,Follow-up,2025-04-28,Completed,Scheduled follow-up call.
1100,503,SMS,2026-02-07,Failed,No response from customer.
1101,1998,Document Shared,2025-12-16,Completed,Shared available property options.
1102,821,SMS,2025-04-16,Completed,Scheduled follow-up call.
1103,2152,Email,2026-03-25,Pending,No response from customer.
1104,1971,Email,2025-11-10,Pending,Scheduled follow-up call.
1105,198,Document Shared,2026-01-19,Pending,Discussed budget and preferred location.
1106,1670,Email,2025-07-28,Failed,Shared available property options.
1107,2627,Email,2025-11-15,Completed,Scheduled follow-up call.
1108,2439,Call,2025-04-24,Failed,Shared available property options.
1109,1203,Call,2025-08-15,Completed,No response from customer.
1110,2602,Follow-up,2026-02-03,Completed,Customer requested more details.
1111,1472,Email,2025-02-03,Failed,Customer requested more details.
1112,1647,Follow-up,2025-06-18,Failed,Sent lease and booking information.
1113,1693,Site Visit,2026-02-05,Completed,No response from customer.
1114,1313,Email,2025-06-05,Failed,Scheduled follow-up call.
1115,2036,Email,2025-12-17,Failed,Shared available property options.
1116,478,Document Shared,2025-03-04,Completed,Discussed budget and preferred location.
1117,1255,Site Visit,2025-11-23,Failed,Discussed budget and preferred location.
1118,923,Site Visit,2026-03-23,Completed,No response from customer.
1119,420,Site Visit,2025-08-07,Pending,Sent lease and booking information.
1120,2205,Email,2026-04-08,Completed,Shared available property options.
1121,2598,Site Visit,2025-02-01,Failed,Discussed budget and preferred location.
1122,1121,Site Visit,2025-10-26,Failed,Sent lease and booking information.
1123,951,Follow-up,2025-03-23,Failed,Sent lease and booking information.
1124,2337,Document Shared,2025-11-19,Pending,Discussed budget and preferred location.
1125,1278,Call,2026-05-03,Failed,Shared available property options.
1126,2244,Site Visit,2025-08-11,Pending,No response from customer.
1127,2646,Follow-up,2025-06-28,Failed,No response from customer.
1128,1858,Site Visit,2025-12-14,Completed,Scheduled follow-up call.
1129,517,Email,2025-01-28,Pending,No response from customer.
1130,1659,WhatsApp,2026-01-09,Completed,Sent lease and booking information.
1131,1866,SMS,2025-03-02,Failed,No response from customer.
1132,2913,Call,2025-04-01,Pending,Sent lease and booking information.
1133,1142,Document Shared,2026-06-10,Pending,Customer requested more details.
1134,2854,Document Shared,2026-07-01,Failed,Customer requested more details.
1135,1933,Call,2025-10-20,Pending,Customer requested more details.
1136,815,WhatsApp,2025-07-22,Failed,Discussed budget and preferred location.
1137,2276,SMS,2025-10-11,Pending,Customer requested more details.
1138,1901,SMS,2025-06-02,Completed,Shared available property options.
1139,2264,SMS,2026-05-04,Failed,Sent lease and booking information.
1140,2996,Follow-up,2025-07-16,Pending,Scheduled follow-up call.
1141,2063,SMS,2026-03-04,Completed,No response from customer.
1142,2095,Email,2026-06-17,Failed,Customer requested more details.
1143,2372,Email,2026-05-10,Failed,Discussed budget and preferred location.
1144,2892,SMS,2025-11-10,Pending,Shared available property options.
1145,130,Follow-up,2025-03-26,Pending,Sent lease and booking information.
1146,95,Site Visit,2026-01-05,Completed,Discussed budget and preferred location.
1147,2675,WhatsApp,2025-11-12,Pending,Sent lease and booking information.
1148,2803,Site Visit,2025-04-28,Completed,Customer requested more details.
1149,1956,Follow-up,2026-04-05,Failed,Sent lease and booking information.
1150,794,SMS,2026-04-14,Failed,Customer requested more details.
1151,1835,Document Shared,2025-08-22,Failed,Customer requested more details.
1152,2117,Follow-up,2025-08-26,Failed,No response from customer.
1153,1684,SMS,2026-03-06,Completed,Shared available property options.
1154,11,Site Visit,2026-01-27,Pending,Scheduled follow-up call.
1155,1866,SMS,2025-03-04,Completed,Customer requested more details.
1156,2920,Site Visit,2026-06-12,Completed,No response from customer.
1157,2598,WhatsApp,2025-02-10,Completed,Shared available property options.
1158,712,SMS,2026-01-10,Failed,Customer requested more details.
1159,2071,Site Visit,2025-12-27,Failed,Discussed budget and preferred location.
1160,815,WhatsApp,2025-06-21,Pending,Sent lease and booking information.
1161,346,WhatsApp,2026-06-16,Completed,No response from customer.
1162,2350,SMS,2026-03-25,Failed,Customer requested more details.
1163,363,SMS,2025-08-23,Failed,No response from customer.
1164,2444,Site Visit,2026-01-11,Completed,Sent lease and booking information.
1165,2266,Site Visit,2026-02-19,Failed,Scheduled follow-up call.
1166,2189,Call,2026-02-17,Completed,Customer requested more details.
1167,985,WhatsApp,2026-02-10,Completed,Discussed budget and preferred location.
1168,1640,Document Shared,2025-02-20,Completed,Shared available property options.
1169,828,Follow-up,2025-02-11,Completed,No response from customer.
1170,2731,Document Shared,2025-11-18,Failed,Customer requested more details.
1171,356,WhatsApp,2026-03-26,Pending,Sent lease and booking information.
1172,1348,Document Shared,2025-02-14,Pending,Shared available property options.
1173,2936,Document Shared,2025-09-15,Failed,Scheduled follow-up call.
1174,1864,Site Visit,2026-04-27,Failed,Scheduled follow-up call.
1175,127,Email,2026-04-18,Pending,Discussed budget and preferred location.
1176,604,Site Visit,2025-08-28,Failed,Scheduled follow-up call.
1177,1929,Follow-up,2026-06-12,Failed,No response from customer.
1178,1014,WhatsApp,2026-04-26,Failed,Discussed budget and preferred location.
1179,51,Call,2025-10-11,Pending,Scheduled follow-up call.
1180,2827,WhatsApp,2026-01-08,Failed,Scheduled follow-up call.
1181,1431,WhatsApp,2025-08-09,Failed,Shared available property options.
1182,1793,Follow-up,2025-01-31,Completed,Customer requested more details.
1183,2862,Follow-up,2025-12-04,Failed,Discussed budget and preferred location.
1184,1637,Call,2025-09-04,Failed,Sent lease and booking information.
1185,1646,WhatsApp,2026-02-15,Completed,No response from customer.
1186,2468,Email,2026-03-12,Pending,Scheduled follow-up call.
1187,1206,Follow-up,2025-07-18,Completed,Customer requested more details.
1188,2873,SMS,2025-11-25,Pending,Customer requested more details.
1189,1855,Email,2026-05-09,Completed,Scheduled follow-up call.
1190,567,Site Visit,2025-05-08,Failed,No response from customer.
1191,2419,Call,2025-05-12,Pending,Scheduled follow-up call.
1192,936,Document Shared,2026-02-20,Completed,Discussed budget and preferred location.
1193,1935,Follow-up,2025-07-27,Completed,Shared available property options.
1194,2709,Document Shared,2025-07-09,Pending,Shared available property options.
1195,1333,Document Shared,2025-02-26,Pending,No response from customer.
1196,202,Follow-up,2025-02-19,Pending,No response from customer.
1197,2361,Site Visit,2025-08-07,Pending,No response from customer.
1198,117,Call,2026-04-21,Failed,Sent lease and booking information.
1199,937,Email,2025-02-03,Failed,Scheduled follow-up call.
1200,575,Document Shared,2025-10-24,Completed,Customer requested more details.
1201,2292,Document Shared,2025-11-20,Failed,Discussed budget and preferred location.
1202,537,SMS,2025-11-08,Failed,Sent lease and booking information.
1203,1626,Document Shared,2026-01-12,Completed,Customer requested more details.
1204,2123,Email,2026-03-28,Completed,Discussed budget and preferred location.
1205,386,WhatsApp,2025-09-24,Failed,Sent lease and booking information.
1206,475,Follow-up,2025-11-18,Pending,Customer requested more details.
1207,418,Site Visit,2025-11-28,Failed,Sent lease and booking information.
1208,2395,WhatsApp,2025-03-15,Completed,Discussed budget and preferred location.
1209,2688,Document Shared,2025-10-20,Pending,Shared available property options.
1210,939,Follow-up,2025-06-05,Failed,Discussed budget and preferred location.
1211,955,Site Visit,2025-12-25,Pending,Customer requested more details.
1212,876,Email,2025-06-29,Pending,Shared available property options.
1213,763,Email,2026-03-31,Failed,Scheduled follow-up call.
1214,1203,Call,2025-08-11,Failed,Sent lease and booking information.
1215,1206,SMS,2025-06-14,Failed,Customer requested more details.
1216,664,WhatsApp,2025-08-22,Failed,Scheduled follow-up call.
1217,25,Site Visit,2025-02-10,Completed,Sent lease and booking information.
1218,1991,Document Shared,2025-07-23,Completed,Customer requested more details.
1219,1204,Follow-up,2026-03-24,Pending,No response from customer.
1220,710,Document Shared,2025-09-07,Completed,Discussed budget and preferred location.
1221,1880,SMS,2025-10-17,Failed,Shared available property options.
1222,1185,Site Visit,2026-06-07,Completed,Customer requested more details.
1223,2225,Follow-up,2025-04-16,Completed,Scheduled follow-up call.
1224,285,Document Shared,2025-12-08,Failed,Scheduled follow-up call.
1225,63,Email,2026-03-11,Pending,Customer requested more details.
1226,1003,Site Visit,2025-09-17,Failed,Sent lease and booking information.
1227,662,Follow-up,2026-06-16,Failed,Shared available property options.
1228,2714,SMS,2025-03-21,Pending,Shared available property options.
1229,2204,SMS,2025-12-11,Pending,Customer requested more details.
1230,1493,SMS,2025-05-29,Failed,Customer requested more details.
1231,967,WhatsApp,2025-03-04,Pending,No response from customer.
1232,849,Site Visit,2025-06-17,Completed,Discussed budget and preferred location.
1233,1108,Follow-up,2026-02-26,Failed,Sent lease and booking information.
1234,689,WhatsApp,2025-07-15,Completed,Shared available property options.
1235,148,Email,2026-02-01,Pending,Customer requested more details.
1236,342,Call,2025-12-06,Failed,Shared available property options.
1237,2524,SMS,2025-10-05,Pending,Scheduled follow-up call.
1238,1087,Document Shared,2025-05-25,Completed,Customer requested more details.
1239,1725,Site Visit,2026-05-08,Failed,Sent lease and booking information.
1240,1384,WhatsApp,2026-04-05,Failed,No response from customer.
1241,2609,SMS,2025-10-08,Failed,Discussed budget and preferred location.
1242,327,Document Shared,2026-03-03,Failed,Scheduled follow-up call.
1243,1793,Site Visit,2025-02-07,Pending,Discussed budget and preferred location.
1244,1760,WhatsApp,2025-07-13,Pending,Shared available property options.
1245,990,Email,2025-02-15,Pending,Sent lease and booking information.
1246,2263,WhatsApp,2025-08-29,Completed,Shared available property options.
1247,2483,WhatsApp,2025-11-15,Pending,Scheduled follow-up call.
1248,952,SMS,2026-01-12,Failed,Sent lease and booking information.
1249,723,Call,2025-09-17,Completed,Scheduled follow-up call.
1250,2080,Call,2025-04-22,Completed,No response from customer.
1251,2718,Site Visit,2026-01-29,Pending,Sent lease and booking information.
1252,2333,Site Visit,2025-10-03,Failed,Scheduled follow-up call.
1253,429,WhatsApp,2025-06-04,Failed,Discussed budget and preferred location.
1254,1501,Follow-up,2025-05-26,Failed,Customer requested more details.
1255,286,WhatsApp,2026-07-02,Failed,Customer requested more details.
1256,2066,WhatsApp,2025-10-22,Failed,Shared available property options.
1257,769,Site Visit,2025-03-31,Failed,Shared available property options.
1258,2638,Site Visit,2025-06-17,Failed,Shared available property options.
1259,1395,Follow-up,2025-11-14,Failed,Discussed budget and preferred location.
1260,194,Document Shared,2025-07-12,Pending,Sent lease and booking information.
1261,2550,Site Visit,2026-02-19,Completed,No response from customer.
1262,988,WhatsApp,2025-06-19,Failed,No response from customer.
1263,1137,Site Visit,2025-05-06,Failed,Shared available property options.
1264,2162,WhatsApp,2026-01-15,Failed,No response from customer.
1265,1702,Site Visit,2026-04-25,Completed,No response from customer.
1266,947,Site Visit,2025-09-28,Completed,Discussed budget and preferred location.
1267,831,Document Shared,2025-11-05,Completed,Customer requested more details.
1268,1921,SMS,2025-11-22,Completed,Sent lease and booking information.
1269,2973,Call,2025-08-14,Failed,Scheduled follow-up call.
1270,55,Email,2026-05-17,Failed,No response from customer.
1271,800,SMS,2026-03-27,Pending,Customer requested more details.
1272,778,Document Shared,2025-11-13,Pending,Scheduled follow-up call.
1273,1482,Follow-up,2026-06-25,Completed,No response from customer.
1274,1902,Email,2026-03-15,Failed,No response from customer.
1275,2210,Call,2025-09-05,Pending,Scheduled follow-up call.
1276,2135,WhatsApp,2025-05-09,Pending,No response from customer.
1277,55,Document Shared,2026-05-07,Failed,No response from customer.
1278,1824,Site Visit,2025-06-09,Failed,Discussed budget and preferred location.
1279,1202,Site Visit,2026-05-26,Pending,Scheduled follow-up call.
1280,833,SMS,2025-10-24,Completed,Discussed budget and preferred location.
1281,313,Email,2026-04-29,Failed,Sent lease and booking information.
1282,2807,Email,2025-07-19,Pending,Shared available property options.
1283,1859,WhatsApp,2026-03-20,Completed,Scheduled follow-up call.
1284,2008,Document Shared,2026-01-01,Failed,Scheduled follow-up call.
1285,2007,Follow-up,2025-07-15,Failed,No response from customer.
1286,2491,Call,2026-06-25,Completed,Shared available property options.
1287,1791,Document Shared,2025-04-16,Completed,No response from customer.
1288,328,Site Visit,2026-02-18,Completed,Sent lease and booking information.
1289,2809,Document Shared,2025-06-17,Pending,Discussed budget and preferred location.
1290,2627,WhatsApp,2025-11-10,Failed,Customer requested more details.
1291,1288,WhatsApp,2025-04-13,Completed,Sent lease and booking information.
1292,2144,SMS,2026-02-19,Completed,No response from customer.
1293,1112,SMS,2026-06-19,Completed,Shared available property options.
1294,1312,Call,2025-05-27,Pending,Shared available property options.
1295,2862,Document Shared,2025-11-01,Pending,Sent lease and booking information.
1296,2539,Site Visit,2026-02-09,Failed,Discussed budget and preferred location.
1297,452,WhatsApp,2025-02-13,Completed,Shared available property options.
1298,1524,Email,2025-10-26,Pending,Customer requested more details.
1299,165,Call,2025-07-08,Completed,Shared available property options.
1300,182,Follow-up,2026-06-20,Completed,Shared available property options.
1301,2517,WhatsApp,2026-02-28,Failed,Discussed budget and preferred location.
1302,910,WhatsApp,2026-04-16,Failed,Scheduled follow-up call.
1303,2783,Site Visit,2026-04-07,Failed,Customer requested more details.
1304,823,Email,2026-01-13,Failed,Shared available property options.
1305,944,Document Shared,2025-06-29,Pending,Scheduled follow-up call.
1306,2002,Call,2025-06-08,Pending,No response from customer.
1307,2055,Email,2026-01-10,Completed,Discussed budget and preferred location.
1308,330,Follow-up,2026-03-01,Failed,No response from customer.
1309,775,Email,2025-10-12,Failed,Shared available property options.
1310,2199,SMS,2025-05-10,Failed,No response from customer.
1311,147,Call,2025-02-07,Completed,Discussed budget and preferred location.
1312,915,WhatsApp,2025-09-17,Completed,Discussed budget and preferred location.
1313,1572,SMS,2026-01-20,Pending,No response from customer.
1314,1309,Call,2026-03-29,Pending,Discussed budget and preferred location.
1315,2748,Email,2025-10-10,Pending,Scheduled follow-up call.
1316,82,Document Shared,2025-12-02,Pending,Scheduled follow-up call.
1317,514,SMS,2025-12-18,Completed,Discussed budget and preferred location.
1318,1921,Email,2025-12-16,Completed,Shared available property options.
1319,2863,Call,2025-03-11,Completed,No response from customer.
1320,2757,Document Shared,2026-06-25,Completed,No response from customer.
1321,1940,SMS,2025-07-16,Completed,Discussed budget and preferred location.
1322,746,Email,2026-05-24,Completed,Shared available property options.
1323,1410,Follow-up,2026-01-19,Completed,No response from customer.
1324,707,Email,2025-11-05,Failed,Sent lease and booking information.
1325,471,Follow-up,2025-04-17,Completed,No response from customer.
